series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result,series_views
4,NA,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA,NA
10,NA,Alice,Fevronia,28,Geography teacher,Essex,NA,NA,NA,NA,NA
6,NA,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",NA,NA,NA,NA,NA
10,NA,Amelia,LeBruin,24,Fashion designer,Halifax,NA,NA,NA,NA,NA
7,NA,Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",NA,NA,NA,NA,NA
1,NA,Annetha,Mills,30,Midwife,Essex,NA,NA,NA,NA,NA
9,NA,Antony,Amourdoux,30,Banker,London,NA,NA,NA,NA,NA
4,NA,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",NA,NA,NA,NA,NA
2,NA,Ben,Frazer,31,Graphic Designer,Northampton,NA,NA,NA,NA,NA
7,NA,Benjamina,Ebuehi,23,Teaching assistant,South London,NA,NA,NA,NA,NA
3,NA,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,NA,NA,NA,NA,NA
9,NA,Briony,Williams,33,Full-time parent,Bristol,NA,NA,NA,NA,NA
7,NA,Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",NA,NA,NA,NA,NA
3,NA,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",NA,NA,NA,NA,NA
5,NA,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",NA,NA,NA,NA,NA
8,NA,Chris,Geiger,50,Software developer,Bristol,NA,NA,NA,NA,NA
4,NA,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA,NA,NA,NA
8,NA,Yan,Tsou,46,Laboratory research scientist,North London,NA,NA,NA,NA,NA
5,NA,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA,NA
9,NA,Dan,Beasley-Harling,36,Full-time parent,London,NA,NA,NA,NA,NA
10,NA,Dan,Chambers,32,Support worker,Rotherham,NA,NA,NA,NA,NA
3,NA,Danny,Bryden,45,Intensive care consultant,Sheffield,NA,NA,NA,NA,NA
10,NA,David,Atherton,36,International health adviser,Whitby,NA,NA,NA,NA,NA
1,NA,David,Chambers,31,Entrepreneur,Milton Keynes,NA,NA,NA,NA,NA
4,NA,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA,NA
5,NA,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,NA,NA,NA
6,NA,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA,NA
1,NA,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,NA,NA,NA,NA,NA
5,NA,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA,NA
8,NA,Flo,Atkins,71,Retired,Merseyside,NA,NA,NA,NA,NA
6,NA,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",NA,NA,NA,NA,NA
4,NA,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",NA,NA,NA,NA,NA
4,NA,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA,NA
10,NA,Helena,Garcia,40,Online project manager,Leeds,NA,NA,NA,NA,NA
10,NA,Henry,Bird,20,Student,Durham,NA,NA,NA,NA,NA
2,NA,Holly,Bell,31,Advertising executive,Leicester,NA,NA,NA,NA,NA
4,NA,Howard,Middleton,51,Council Worker,Sheffield,NA,NA,NA,NA,NA
5,NA,Iain,Watters,31,Construction Engineer,London/Belfast,NA,NA,NA,NA,NA
6,NA,Ian,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",NA,NA,NA,NA,NA
2,NA,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA,NA
9,NA,Imelda,McCarron,33,Countryside recreation officer,County Tyrone,NA,NA,NA,NA,NA
8,NA,James,Hillery,46,Banker,"Brentwood, Essex",NA,NA,NA,NA,NA
3,NA,James,Morton,21,Medical student,"Hillswick, Shetland Islands",NA,NA,NA,NA,NA
10,NA,Jamie,Finn,20,Part-time waiter,Surrey,NA,NA,NA,NA,NA
7,NA,Jane,Beedle,61,Garden designer,Beckenham,NA,NA,NA,NA,NA
2,NA,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",NA,NA,NA,NA,NA
1,NA,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,NA,NA,NA,NA,NA
2,NA,Jason,White,19,Civil Engineering Student,Croydon,NA,NA,NA,NA,NA
2,NA,Jo,Wheatley,41,Housewife,"Ongar, Essex",NA,NA,NA,NA,NA
3,NA,John,Whaite,22,Law student,Wigan,NA,NA,NA,NA,NA
9,NA,Jon,Jenkins,47,Blood courier,Newport,NA,NA,NA,NA,NA
1,NA,Jonathan,Shepherd,25,Research Analyst,St Albans,NA,NA,NA,NA,NA
5,NA,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA,NA
8,NA,Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",NA,NA,NA,NA,NA
9,NA,Karen,Wright,60,In-store sampling assistant,Wakefield,NA,NA,NA,NA,NA
7,NA,Kate,Barmby,37,Nurse,"Brooke, Norfolk",NA,NA,NA,NA,NA
5,NA,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",NA,NA,NA,NA,NA
8,NA,Kate,Lyon,29,Health and safety inspector,Merseyside,NA,NA,NA,NA,NA
2,NA,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA,NA
9,NA,Kim-Joy,Hewlett,27,Mental health specialist,Leeds,NA,NA,NA,NA,NA
4,NA,Kimberley,Wilson,30,Psychologist,London,NA,NA,NA,NA,NA
1,NA,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA,NA
7,NA,Lee,Banfield,67,Pastor,Bolton,NA,NA,NA,NA,NA
8,NA,Liam,Charles,19,Student,North London,NA,NA,NA,NA,NA
1,NA,Louise,Brimelow,44,Police Officer,Manchester,NA,NA,NA,NA,NA
7,NA,Louise,Williams,46,Hairdresser,Cardiff,NA,NA,NA,NA,NA
4,NA,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA,NA
5,NA,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",NA,NA,NA,NA,NA
